num_citations,title,authors,year,url
4870,Reducing the dimensionality of data with neural networks,GE Hinton & RR Salakhutdinov,2006,http://science.sciencemag.org/content/313/5786/504.short
1481,Extracting and composing robust features with denoising autoencoders,P Vincent et al.,2008,http://dl.acm.org/citation.cfm?id=1390294
1373,Spectral hashing,Y Weiss et al.,2009,http://papers.nips.cc/paper/3383-spectral-hashing
1153,Building high-level features using large scale unsupervised learning,QV Le,2013,http://ieeexplore.ieee.org/abstract/document/6639343/
865,Kernel PCA and De-noising in feature spaces.,S Mika et al.,1998,https://papers.nips.cc/paper/1491-kernel-pca-and-de-noising-in-feature-spaces.pdf
705,Auto-encoding variational bayes,DP Kingma & M Welling,2013,https://arxiv.org/abs/1312.6114
676,Multimodal deep learning,A Khosla & J Nam,2011,http://machinelearning.wustl.edu/mlpapers/paper_files/ICML2011Ngiam_399.pdf
567,Multimodal learning with deep boltzmann machines,N Srivastava & RR Salakhutdinov,2012,http://papers.nips.cc/paper/4683-multimodal-learning-with-deep-boltzmann-machines
564,Semi-supervised recursive autoencoders for predicting sentiment distributions,R Socher & EH Huang,2011,http://dl.acm.org/citation.cfm?id=2145450
536,Domain adaptation for large-scale sentiment classification: A deep learning approach,X Glorot et al.,2011,http://machinelearning.wustl.edu/mlpapers/paper_files/ICML2011Glorot_342.pdf
438,Contractive auto-encoders: Explicit invariance during feature extraction,S Rifai & P Vincent,2011,http://machinelearning.wustl.edu/mlpapers/paper_files/ICML2011Rifai_455.pdf
404,Dynamic Pooling and Unfolding Recursive Autoencoders for Paraphrase Detection.,R Socher & EH Huang,2011,https://papers.nips.cc/paper/4204-dynamic-pooling-and-unfolding-recursive-autoencoders-for-paraphrase-detection.pdf
373,"Autoencoders, minimum description length and Helmholtz free energy",RS Zemel,1994,https://papers.nips.cc/paper/798-autoencoders-minimum-description-length-and-helmholtz-free-energy.pdf
357,On optimization methods for deep learning,A Coates,2011,http://machinelearning.wustl.edu/mlpapers/paper_files/ICML2011Le_210.pdf
304,Learning a Nonlinear Embedding by Preserving Class Neighbourhood Structure.,R Salakhutdinov & GE Hinton,2007,http://www.jmlr.org/proceedings/papers/v2/salakhutdinov07a/salakhutdinov07a.pdf
304,A novelty detection approach to classification,N Japkowicz et al.,1995,http://www.ijcai.org/Proceedings/95-1/Papers/068.pdf
224,Learning a deep compact image representation for visual tracking,N Wang & DY Yeung,2013,http://papers.nips.cc/paper/5192-learning-a-deep-compact-image-representation-for-visual-tracking
224,Measuring invariances in deep networks,I Goodfellow et al.,2009,http://papers.nips.cc/paper/3790-measuring-invariances-in-deep-networks
214,Stacked convolutional auto-encoders for hierarchical feature extraction,J Masci et al.,2011,http://www.springerlink.com/index/U47243T6702223K4.pdf
208,The Difficulty of Training Deep Architectures and the Effect of Unsupervised Pre-Training.,D Erhan et al.,2009,http://www.jmlr.org/proceedings/papers/v5/erhan09a/erhan09a.pdf
207,Sparse autoencoder,,2011,https://pdfs.semanticscholar.org/eb2f/e260af00818907fe82024203d8a5a1386777.pdf
197,Marginalized denoising autoencoders for domain adaptation,M Chen et al.,2012,https://arxiv.org/abs/1206.4683
169,Combining one-class classifiers,DMJ Tax & RPW Duin,2001,http://link.springer.com/10.1007/3-540-48219-9_30
165,Binary coding of speech spectrograms using a deep auto-encoder.,L Deng et al.,2010,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.185.1908&rep=rep1&type=pdf
158,Visualizing higher-layer features of a deep network,D Erhan et al.,2009,https://www.researchgate.net/profile/Aaron_Courville/publication/265022827_Visualizing_Higher-Layer_Features_of_a_Deep_Network/links/53ff82b00cf24c81027da530.pdf
151,Robust detection of dynamic community structure in networks,DS Bassett & MA Porter,2013,http://aip.scitation.org/doi/abs/10.1063/1.4790830
144,Representational learning with extreme learning machine for big data,GB Huang,2013,http://repository.umac.mo/bitstream/10692/2432/1/11166_0_MLELM_final.pdf
139,Recurrent Neural Networks for Noise Reduction in Robust ASR.,AL Maas et al.,2012,http://ai.stanford.edu/~ang/papers-tofile/drnn_intrspch2012_final.pdf
132,Coarse-to-fine auto-encoder networks (cfan) for real-time face alignment,J Zhang et al.,2014,http://link.springer.com/chapter/10.1007/978-3-319-10605-2_1
129,Recognizing handwritten digits using mixtures of linear models,GE Hinton,1994,http://dl.acm.org/citation.cfm?id=2998813
126,"Autoencoders, unsupervised learning, and deep architectures.",P Baldi,2012,http://www.jmlr.org/proceedings/papers/v27/baldi12a/baldi12a.pdf
122,Using very deep autoencoders for content-based image retrieval.,A Krizhevsky & GE Hinton,2011,https://pdfs.semanticscholar.org/8808/0d28536f36588740737f3b7a1f6c1a409654.pdf
120,Transforming auto-encoders,G Hinton et al.,2011,http://www.springerlink.com/index/BJ223882L483R160.pdf
116,Auto-encoder bottleneck features using deep belief networks,TN Sainath & B Kingsbury,2012,http://ieeexplore.ieee.org/abstract/document/6288833/
111,Unsupervised learning of visual representations using videos,X Wang & A Gupta,2015,http://www.cv-foundation.org/openaccess/content_iccv_2015/html/Wang_Unsupervised_Learning_of_ICCV_2015_paper.html
110,Competition and multiple cause models,RS Zemel,1995,http://www.mitpressjournals.org/doi/abs/10.1162/neco.1995.7.3.565
110,Extracting deep bottleneck features using stacked auto-encoders,J Gehring et al.,2013,http://ieeexplore.ieee.org/abstract/document/6638284/
108,Speech enhancement based on deep denoising autoencoder.,Y Tsao et al.,2013,https://www.researchgate.net/profile/Yu_Tsao/publication/283600839_Speech_enhancement_based_on_deep_denoising_autoencoder/links/577b486108ae213761c9c7f8.pdf
104,Deep belief networks,GE Hinton,2009,http://www.scholarpedia.org/article/Deep_belief_networks?pagewanted=all
101,Provable Bounds for Learning Some Deep Representations.,S Arora et al.,2014,http://www.jmlr.org/proceedings/papers/v32/arora14.pdf
101,Image compression using principal component neural networks,S Fiori,2001,http://www.sciencedirect.com/science/article/pii/S0262885601000427
95,Stacked autoencoders for unsupervised feature learning and multiple organ detection in a pilot study using 4D patient data,HC Shin et al.,2013,http://ieeexplore.ieee.org/abstract/document/6399478/
94,A connection between score matching and denoising autoencoders,P Vincent,2011,http://www.mitpressjournals.org/doi/abs/10.1162/neco_a_00142
94,Models of habituation in infancy,D Mareschal,2002,http://www.sciencedirect.com/science/article/pii/S1364661302019265
92,An autoencoder approach to learning bilingual word representations,SC AP et al.,2014,http://papers.nips.cc/paper/5270-an-autoencoder-approach-to-learning-bilingual-word-representations
88,Missing data: A comparison of neural network and expectation maximisation techniques,FV Nelwamondo et al.,2007,https://arxiv.org/abs/0704.3474
86,A hierarchical neural autoencoder for paragraphs and documents,J Li et al.,2015,https://arxiv.org/abs/1506.01057
86,Feature learning for activity recognition in ubiquitous computing,T Plötz et al.,2011,https://openlab.ncl.ac.uk/publicweb/publications/IJCAI11-290.pdf
85,Developments in probabilistic modelling with neural networks—ensemble learning,DJC MacKay,1995,http://link.springer.com/chapter/10.1007/978-1-4471-3087-1_37
82,Handwritten digit recognition by adaptive-subspace self-organizing map (ASSOM),H Yan & MA Jabri,1999,http://ieeexplore.ieee.org/abstract/document/774267/
82,Deep Learning Made Easier by Linear Transformations in Perceptrons.,T Raiko et al.,2012,http://www.jmlr.org/proceedings/papers/v22/raiko12/raiko12.pdf
81,Higher order contractive auto-encoder,S Rifai et al.,2011,http://www.springerlink.com/index/Q6333007N3H50887.pdf
78,Deep auto-encoder neural networks in reinforcement learning,S Lange & M Riedmiller,2010,http://ieeexplore.ieee.org/abstract/document/5596468/
77,Learning Continuous Attractors in Recurrent Networks.,HS Seung,1997,https://papers.nips.cc/paper/1369-learning-continuous-attractors-in-recurrent-networks.pdf
75,Nonlinear PCA: a new hierarchical approach.,M Scholz & R Vigário,2002,http://www.academia.edu/download/7301216/scholz_vigario_nlpca_esann2002.pdf
69,Semi-supervised sequence learning,AM Dai & QV Le,2015,http://papers.nips.cc/paper/5949-semi-supervised-sequence-learning
68,Sparse autoencoder-based feature transfer learning for speech emotion recognition,J Deng et al.,2013,http://ieeexplore.ieee.org/abstract/document/6681481/
68,Cross-modal retrieval with correspondence autoencoder,F Feng,2014,http://dl.acm.org/citation.cfm?id=2654902
67,Adaptive dropout for training deep neural networks,J Ba & B Frey,2013,http://papers.nips.cc/paper/5032-adaptive-dropout-for-training-deep-neural-networks
65,"A deep learning architecture for image representation, visual interpretability and automated basal-cell carcinoma cancer detection",AA Cruz-Roa & A Madabhushi,2013,http://link.springer.com/chapter/10.1007/978-3-642-40763-5_50
65,Ensemble learning and evidence maximization,DJC MacKay,1995,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.54.4083&rep=rep1&type=pdf
64,Online multimodal deep similarity learning with application to image retrieval,SCH Hoi et al.,2013,http://dl.acm.org/citation.cfm?id=2502112
61,Deep learning-based feature representation for AD/MCI classification,HI Suk & D Shen,2013,http://link.springer.com/chapter/10.1007/978-3-642-40763-5_72
59,Deep maxout networks for low-resource speech recognition,Y Miao et al.,2013,http://ieeexplore.ieee.org/abstract/document/6707763/
57,Pseudo-label: The simple and efficient semi-supervised learning method for deep neural networks,DH Lee,2013,https://www.kaggle.com/blobs/download/forum-message-attachment-files/746/pseudo_label_final.pdf
57,How many clusters?: A YING-YANG machine based theory for a classical open problem in pattern recognition,L Xu,1996,http://ieeexplore.ieee.org/abstract/document/549130/
57,Speech feature denoising and dereverberation via deep autoencoders for noisy reverberant speech recognition,X Feng et al.,2014,http://ieeexplore.ieee.org/abstract/document/6853900/
55,On autoencoders and score matching for energy based models,K Swersky,2011,http://machinelearning.wustl.edu/mlpapers/paper_files/ICML2011Swersky_622.pdf
